ref,X,Y,rotation,layer 
C1,  540,  655,  0,top 
C2,  620, 1000, 90,top 
C3,  725, 1125,  0,top 
C5,  322, 1878,225,top 
C6,  900, 1765,270,top 
C7, 1025, 2010,  0,top 
C8,  890, 1975, 90,top 
C9, 1030, 1780,180,top 
C10,  288, 1927,225,top 
C11,  854,  464,270,top 
C12,  950,  492,270,top 
C13, 1027,  584,  0,top 
C14,  834,  821,  0,top 
C15, 1100, 1555,180,top 
C16,  545, 2235,270,top 
C17,  445, 1405,270,top 
C18,  309, 2095,270,top 
C19,  253, 2050, 90,top 
D1,  580,  780,180,top 
D2,  400,  925,  0,top 
D3,   95,  445, 90,top 
D4,   95,  365, 90,top 
D5,   95,  285, 90,top 
D6,  852,  348,180,top 
D7,  852,  290,180,top 
D8,  758,  412,270,top 
F1,  691,  450, 90,top 
J1,  499,  380, 90,top 
J2,  795,  138,  0,top 
J3,  125, 1365, 90,top 
J4, 1325, 1365, 90,top 
R1, 1205,  525,  0,top 
R2, 1080,  525,180,top 
R3,  525,  950,  0,top 
R4,  980,  684,180,top 
R5,  955,  250,270,top 
R6,  435,  705, 90,top 
R7,  370,  705, 90,top 
R8,  305,  705, 90,top 
S1, 1220,  355,180,top 
TP1,  950,  746,  0,top 
TP2,  868, 1070,  0,top 
TP3,  948, 1072,  0,top 
U1,  470, 1042, 90,top 
U2,  725, 1010,180,top 
U3,  625, 1905,270,top 
U4,  805,  632, 90,top 
U5,  630, 2184, 90,top 
U6,  668, 1465, 90,top 
Y1, 1030, 1895, 90,top 
Y2,  379, 2081,270,top 
